customer_id,name,email,region,signup_date
CUST001,Customer 1,customer1@example.com,North,2024-05-21
CUST002,Customer 2,customer2@example.com,West,2024-03-06
CUST003,Customer 3,customer3@example.com,South,2024-01-25
CUST004,Customer 4,,West,2024-05-04
CUST005,Customer 5,customer5@example.com,East,2024-04-04
CUST006,Customer 6,customer6@example.com,South,2024-04-15
CUST007,Customer 7,customer7@example.com,North,2024-01-15
CUST008,Customer 8,,North,2024-02-16
CUST009,Customer 9,customer9@example.com,East,2024-04-25
CUST010,Customer 10,customer10@example.com,West,2024-05-04
CUST011,Customer 11,customer11@example.com,West,2024-03-06
CUST012,Customer 12,customer12@example.com,South,2024-04-30
CUST013,Customer 13,customer13@example.com,West,2024-05-06
CUST014,Customer 14,customer14@example.com,North,2024-02-28
CUST015,Customer 15,customer15@example.com,West,2024-05-14
CUST016,Customer 16,customer16@example.com,East,2024-02-13
CUST017,Customer 17,customer17@example.com,West,2024-02-05
CUST018,Customer 18,customer18@example.com,East,2024-04-12
CUST019,Customer 19,customer19@example.com,North,2024-04-05
CUST020,Customer 20,customer20@example.com,West,2024-01-21
CUST021,Customer 21,customer21@example.com,North,2024-05-04
CUST022,Customer 22,customer22@example.com,West,2024-01-30
CUST023,Customer 23,customer23@example.com,South,2024-04-30
CUST024,Customer 24,customer24@example.com,South,2024-01-02
CUST025,Customer 25,customer25@example.com,North,2024-04-29
CUST026,Customer 26,customer26@example.com,East,2024-04-28
CUST027,Customer 27,customer27@example.com,West,2024-04-27
CUST028,Customer 28,customer28@example.com,East,2024-04-09
CUST029,Customer 29,customer29@example.com,East,2024-03-11
CUST030,Customer 30,customer30@example.com,West,2024-04-15
CUST031,Customer 31,customer31@example.com,North,2024-02-11
CUST032,Customer 32,customer32@example.com,South,2024-04-27
CUST033,Customer 33,customer33@example.com,East,2024-03-24
CUST034,Customer 34,customer34@example.com,West,2024-03-09
CUST035,Customer 35,customer35@example.com,West,2024-03-16
CUST036,Customer 36,customer36@example.com,East,2024-03-26
CUST037,Customer 37,customer37@example.com,East,2024-01-06
CUST038,Customer 38,customer38@example.com,West,2024-01-21
CUST039,Customer 39,customer39@example.com,East,2024-02-06
CUST040,Customer 40,customer40@example.com,West,2024-01-18
CUST006,Customer 6,customer6@example.com,South,2024-04-15
